puuid,date,lane,individualPosition,win,match_id,championname
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 16:41:23,BOTTOM,UTILITY,True,EUW1_5548526395,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 16:10:01,NONE,UTILITY,True,EUW1_5548499858,Nami
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 15:31:14,BOTTOM,UTILITY,False,EUW1_5548464682,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 14:46:50,BOTTOM,UTILITY,False,EUW1_5548388657,Nami
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 13:50:22,BOTTOM,UTILITY,True,EUW1_5548362132,Rakan
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 12:59:25,BOTTOM,UTILITY,False,EUW1_5548314251,Lulu
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 00:53:12,BOTTOM,UTILITY,True,EUW1_5547752927,Rell
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-10 00:24:25,NONE,UTILITY,True,EUW1_5547598616,Nami
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 23:51:33,BOTTOM,UTILITY,True,EUW1_5547576972,Lulu
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 23:05:25,BOTTOM,UTILITY,True,EUW1_5547475277,Leona
