Target Champ,Enemy 1,Enemy 2,Enemy 3,Enemy 4,Enemy 5,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Player puuid,Match ID,Date added
Sett,Chogath,MasterYi,Vex,Jhin,Janna,Goredrinker,Refillable Potion,Mercury's Treads,Doran's Blade,Bramble Vest,Pickaxe,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5698748774,3/2/2022
Sett,Gangplank,Graves,Ekko,Kaisa,Zilean,Goredrinker,Sterak's Gage,Control Ward,Plated Steelcaps,Ruby Crystal,no item,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5698774065,3/2/2022
Sett,Camille,Diana,Zeri,Aphelios,Zilean,Goredrinker,Sterak's Gage,Plated Steelcaps,Tiamat,Ruby Crystal,Bramble Vest,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696217147,3/2/2022
Sett,Katarina,Graves,Morgana,Zeri,Twitch,Goredrinker,Sterak's Gage,Tiamat,Doran's Blade,Mercury's Treads,Giant's Belt,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696234099,3/2/2022
Sett,Gwen,Hecarim,Fizz,Ezreal,Rakan,Goredrinker,Sterak's Gage,Control Ward,Mercury's Treads,Thornmail,Titanic Hydra,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696211491,3/2/2022
Sett,Olaf,JarvanIV,Veigar,Jinx,Thresh,Goredrinker,Blade of The Ruined King,Control Ward,Phage,Plated Steelcaps,Bramble Vest,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696049588,3/2/2022
Sett,Darius,Qiyana,Malzahar,Jinx,Seraphine,Goredrinker,Sterak's Gage,Plated Steelcaps,Doran's Blade,Bramble Vest,Tiamat,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696133386,3/2/2022
Sett,Akali,JarvanIV,Katarina,Caitlyn,Senna,Goredrinker,Sterak's Gage,Mercury's Treads,Force of Nature,Titanic Hydra,Warden's Mail,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5696050879,3/2/2022
Sett,Akali,JarvanIV,Zed,Vayne,Lulu,Goredrinker,Sterak's Gage,no item,Ruby Crystal,Bramble Vest,Mercury's Treads,j1WYR9vsU6K3hvHX71McN6RRlKahEcXQ4BYXHNa6YT2gJPCbuJfHWFRPwwWOPdlsHh9_pLbN8TUCZA,EUW1_5695985781,3/2/2022
Sett,Zilean,LeeSin,Sion,Swain,Leona,Doran's Shield,Ruby Crystal,Hullbreaker,Boots of Swiftness,Black Cleaver,Long Sword,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5709124015,3/2/2022
Sett,Gangplank,Shaco,TwistedFate,Zeri,Leona,Stridebreaker,Black Cleaver,Sterak's Gage,Tiamat,Plated Steelcaps,no item,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5709079168,3/2/2022
Sett,Warwick,Veigar,Hecarim,Zeri,Lulu,Bramble Vest,Ironspike Whip,Doran's Shield,Hullbreaker,Boots of Swiftness,Negatron Cloak,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5708717595,3/2/2022
Sett,Renekton,LeeSin,Talon,Veigar,Blitzcrank,Doran's Shield,Stridebreaker,Dead Man's Plate,Kindlegem,Plated Steelcaps,no item,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706498524,3/2/2022
Sett,Camille,Viego,Sylas,Jinx,Lulu,Control Ward,Stridebreaker,Dead Man's Plate,Chempunk Chainsword,Plated Steelcaps,no item,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706481627,3/2/2022
Sett,Renekton,Diana,Xerath,Jhin,Karma,no item,Stridebreaker,Mercury's Treads,Black Cleaver,Dead Man's Plate,Sterak's Gage,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706317580,3/2/2022
Sett,Gwen,Viego,Leblanc,Sivir,Braum,Chempunk Chainsword,Stridebreaker,Doran's Shield,Mercury's Treads,Black Cleaver,no item,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706223866,3/2/2022
Sett,Garen,Viego,Viktor,Zeri,Rakan,Dead Man's Plate,Stridebreaker,Plated Steelcaps,Caulfield's Warhammer,no item,Doran's Shield,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706210899,3/2/2022
Sett,Urgot,Viego,Kassadin,Jhin,Zilean,Black Cleaver,Stridebreaker,Blade of The Ruined King,Plated Steelcaps,Doran's Blade,Phage,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5706037118,3/2/2022
Sett,Aatrox,Twitch,Lissandra,Caitlyn,Janna,no item,Stridebreaker,Chempunk Chainsword,Phage,Black Cleaver,Plated Steelcaps,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5705927263,3/2/2022
Sett,Aatrox,Zac,Akali,Zeri,Maokai,Control Ward,Stridebreaker,Dead Man's Plate,Mercury's Treads,Chempunk Chainsword,Black Cleaver,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5705857084,3/2/2022
Sett,Graves,Volibear,Viktor,Senna,Maokai,no item,Stridebreaker,Plated Steelcaps,Winged Moonplate,Doran's Shield,Sterak's Gage,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5705698199,3/2/2022
Sett,Volibear,Nidalee,Fizz,Jinx,Janna,Force of Nature,Stridebreaker,Doran's Shield,Winged Moonplate,Mercury's Treads,Chain Vest,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5705652124,3/2/2022
Sett,MonkeyKing,Evelynn,Sylas,Jinx,Yuumi,Phage,Stridebreaker,Pickaxe,Plated Steelcaps,no item,Doran's Shield,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5705613076,3/2/2022
Sett,MonkeyKing,Diana,Zeri,Jinx,Lulu,Refillable Potion,Stridebreaker,Kindlegem,Caulfield's Warhammer,Doran's Shield,Plated Steelcaps,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5704835605,3/2/2022
Sett,Cassiopeia,Shyvana,Viktor,Jinx,Janna,Long Sword,Stridebreaker,Sterak's Gage,Force of Nature,Kindlegem,Mercury's Treads,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5703865726,3/2/2022
Sett,Gangplank,LeeSin,Vex,Jinx,Blitzcrank,Phage,Stridebreaker,Black Cleaver,Doran's Shield,Plated Steelcaps,no item,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5703107915,3/2/2022
Sett,Riven,Viego,Ahri,Varus,Janna,Sterak's Gage,Stridebreaker,Caulfield's Warhammer,Plated Steelcaps,Ruby Crystal,Doran's Shield,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5702853093,3/2/2022
Sett,Heimerdinger,Graves,Cassiopeia,Draven,Karma,no item,Stridebreaker,Sterak's Gage,Plated Steelcaps,Titanic Hydra,Chempunk Chainsword,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5702760138,3/2/2022
Sett,Gangplank,Singed,Vladimir,Ezreal,Blitzcrank,Winged Moonplate,Stridebreaker,Doran's Shield,Dead Man's Plate,Plated Steelcaps,Negatron Cloak,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5702343523,3/2/2022
Sett,Zeri,RekSai,Neeko,Twitch,Lulu,Refillable Potion,Stridebreaker,no item,no item,Plated Steelcaps,Chain Vest,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5702246679,3/2/2022
Sett,Shen,Diana,Zed,Ezreal,Rakan,Force of Nature,Stridebreaker,Mercury's Treads,Black Cleaver,Chain Vest,Sterak's Gage,aqWJSQfph8vCSfuIQXC_e2DSX7y4uMnM9P9zYUOzeWs_sb9DU-9g33aZZe5Kp7CKT8A3oTJ9AkmCeA,EUW1_5702068968,3/2/2022
